GPL_ID	PROBE_ID	GENE_SYMBOL	GENE_ID	ORGANISM
Agi_G4502A	ELMO2	ELMO2	63916	HOMO_SAPIENS
Agi_G4502A	CREB3L1	CREB3L1	90993	HOMO_SAPIENS
Agi_G4502A	RPS11	RPS11	6205	HOMO_SAPIENS
Agi_G4502A	PNMA1	PNMA1	9240	HOMO_SAPIENS
Agi_G4502A	MMP2	MMP2	4313	HOMO_SAPIENS
Agi_G4502A	C10orf90	C10orf90	118611	HOMO_SAPIENS
Agi_G4502A	ZHX3	ZHX3	23051	HOMO_SAPIENS
Agi_G4502A	ERCC5	ERCC5	2073	HOMO_SAPIENS
Agi_G4502A	GPR98	GPR98	84059	HOMO_SAPIENS
Agi_G4502A	RXFP3	RXFP3	51289	HOMO_SAPIENS
Agi_G4502A	APBB2	APBB2	323	HOMO_SAPIENS
Agi_G4502A	PRO0478	PRO0478		HOMO_SAPIENS
Agi_G4502A	KLHL13	KLHL13	90293	HOMO_SAPIENS
Agi_G4502A	PRSSL1	PRSSL1		HOMO_SAPIENS
Agi_G4502A	PDCL3	PDCL3	79031	HOMO_SAPIENS
Agi_G4502A	DECR1	DECR1	1666	HOMO_SAPIENS
Agi_G4502A	SALL1	SALL1	6299	HOMO_SAPIENS
Agi_G4502A	CADM4	CADM4	199731	HOMO_SAPIENS
Agi_G4502A	RPS18	RPS18	6222	HOMO_SAPIENS
Agi_G4502A	HNRPD	HNRPD		HOMO_SAPIENS
Agi_G4502A	CFHR5	CFHR5	81494	HOMO_SAPIENS
Agi_G4502A	SLC10A7	SLC10A7	84068	HOMO_SAPIENS
Agi_G4502A	OR2K2	OR2K2	26248	HOMO_SAPIENS
Agi_G4502A	LMAN1	LMAN1	3998	HOMO_SAPIENS
Agi_G4502A	SUHW1	SUHW1		HOMO_SAPIENS
Agi_G4502A	CHD8	CHD8	57680	HOMO_SAPIENS
Agi_G4502A	SUMO1	SUMO1	7341	HOMO_SAPIENS
Agi_G4502A	GP1BA	GP1BA	2811	HOMO_SAPIENS
Agi_G4502A	DDB1	DDB1	1642	HOMO_SAPIENS
Agi_G4502A	MYO9B	MYO9B	4650	HOMO_SAPIENS
Agi_G4502A	MMP7	MMP7	4316	HOMO_SAPIENS
Agi_G4502A	CRNKL1	CRNKL1	51340	HOMO_SAPIENS
Agi_G4502A	C9orf45	C9orf45		HOMO_SAPIENS
Agi_G4502A	XAB2	XAB2	56949	HOMO_SAPIENS
Agi_G4502A	RTN1	RTN1	6252	HOMO_SAPIENS
Agi_G4502A	KLHL14	KLHL14	57565	HOMO_SAPIENS
Agi_G4502A	TBX10	TBX10	347853	HOMO_SAPIENS
Agi_G4502A	CENPQ	CENPQ	55166	HOMO_SAPIENS
Agi_G4502A	UTY	UTY	7404	HOMO_SAPIENS
Agi_G4502A	ZBTB12	ZBTB12	221527	HOMO_SAPIENS
Agi_G4502A	DTNBP1	DTNBP1	84062	HOMO_SAPIENS
Agi_G4502A	KBTBD8	KBTBD8	84541	HOMO_SAPIENS
Agi_G4502A	ZEB1	ZEB1	6935	HOMO_SAPIENS
