STUDY_ID	SITE_ID	SUBJECT_ID	SAMPLE_ID	PLATFORM	TISSUETYPE	ATTR1	ATTR2	category_cd
TCGA_Breast_230912		TCGA-A1-A0SD	TCGA-A1-A0SD-01A-11R-A115-07	Agi_G4502A	Breast			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Breast_230912		TCGA-A1-A0SE	TCGA-A1-A0SE-01A-11R-A084-07	Agi_G4502A	Breast			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Breast_230912		TCGA-A1-A0SH	TCGA-A1-A0SH-01A-11R-A084-07	Agi_G4502A	Breast			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Breast_230912		TCGA-A1-A0SJ	TCGA-A1-A0SJ-01A-11R-A084-07	Agi_G4502A	Breast			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Breast_230912		TCGA-A1-A0SK	TCGA-A1-A0SK-01A-12R-A084-07	Agi_G4502A	Breast			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Breast_230912		TCGA-A1-A0SM	TCGA-A1-A0SM-01A-11R-A084-07	Agi_G4502A	Breast			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Breast_230912		TCGA-A1-A0SO	TCGA-A1-A0SO-01A-22R-A084-07	Agi_G4502A	Breast			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Breast_230912		TCGA-A2-A04N	TCGA-A2-A04N-01A-11R-A115-07	Agi_G4502A	Breast			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Breast_230912		TCGA-A2-A04P	TCGA-A2-A04P-01A-31R-A034-07	Agi_G4502A	Breast			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Breast_230912		TCGA-A2-A04Q	TCGA-A2-A04Q-01A-21R-A034-07	Agi_G4502A	Breast			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Breast_230912		TCGA-A2-A04R	TCGA-A2-A04R-01A-41R-A109-07	Agi_G4502A	Breast			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Breast_230912		TCGA-A2-A04T	TCGA-A2-A04T-01A-21R-A034-07	Agi_G4502A	Breast			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Breast_230912		TCGA-A2-A04U	TCGA-A2-A04U-01A-11R-A115-07	Agi_G4502A	Breast			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Breast_230912		TCGA-A2-A04V	TCGA-A2-A04V-01A-21R-A034-07	Agi_G4502A	Breast			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Breast_230912		TCGA-A2-A04W	TCGA-A2-A04W-01A-31R-A115-07	Agi_G4502A	Breast			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Breast_230912		TCGA-A2-A04X	TCGA-A2-A04X-01A-21R-A034-07	Agi_G4502A	Breast			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Breast_230912		TCGA-A2-A04Y	TCGA-A2-A04Y-01A-21R-A034-07	Agi_G4502A	Breast			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Breast_230912		TCGA-A2-A0CL	TCGA-A2-A0CL-01A-11R-A115-07	Agi_G4502A	Breast			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Breast_230912		TCGA-A2-A0CM	TCGA-A2-A0CM-01A-31R-A034-07	Agi_G4502A	Breast			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Breast_230912		TCGA-A2-A0CP	TCGA-A2-A0CP-01A-11R-A034-07	Agi_G4502A	Breast			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Breast_230912		TCGA-A2-A0CQ	TCGA-A2-A0CQ-01A-21R-A034-07	Agi_G4502A	Breast			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Breast_230912		TCGA-A2-A0CS	TCGA-A2-A0CS-01A-11R-A115-07	Agi_G4502A	Breast			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Breast_230912		TCGA-A2-A0CT	TCGA-A2-A0CT-01A-31R-A056-07	Agi_G4502A	Breast			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Breast_230912		TCGA-A2-A0CU	TCGA-A2-A0CU-01A-12R-A034-07	Agi_G4502A	Breast			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Breast_230912		TCGA-A2-A0CV	TCGA-A2-A0CV-01A-31R-A115-07	Agi_G4502A	Breast			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Breast_230912		TCGA-A2-A0CW	TCGA-A2-A0CW-01A-21R-A115-07	Agi_G4502A	Breast			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Breast_230912		TCGA-A2-A0CX	TCGA-A2-A0CX-01A-21R-A00Z-07	Agi_G4502A	Breast			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Breast_230912		TCGA-A2-A0CY	TCGA-A2-A0CY-01A-12R-A034-07	Agi_G4502A	Breast			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Breast_230912		TCGA-A2-A0CZ	TCGA-A2-A0CZ-01A-11R-A034-07	Agi_G4502A	Breast			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Breast_230912		TCGA-A2-A0D0	TCGA-A2-A0D0-01A-11R-A00Z-07	Agi_G4502A	Breast			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Breast_230912		TCGA-A2-A0D1	TCGA-A2-A0D1-01A-11R-A034-07	Agi_G4502A	Breast			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Breast_230912		TCGA-A2-A0D2	TCGA-A2-A0D2-01A-21R-A034-07	Agi_G4502A	Breast			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Breast_230912		TCGA-A2-A0D3	TCGA-A2-A0D3-01A-11R-A115-07	Agi_G4502A	Breast			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Breast_230912		TCGA-A2-A0D4	TCGA-A2-A0D4-01A-11R-A00Z-07	Agi_G4502A	Breast			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Breast_230912		TCGA-A2-A0EM	TCGA-A2-A0EM-01A-11R-A034-07	Agi_G4502A	Breast			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Breast_230912		TCGA-A2-A0EN	TCGA-A2-A0EN-01A-13R-A084-07	Agi_G4502A	Breast			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Breast_230912		TCGA-A2-A0EO	TCGA-A2-A0EO-01A-11R-A034-07	Agi_G4502A	Breast			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Breast_230912		TCGA-A2-A0EQ	TCGA-A2-A0EQ-01A-11R-A034-07	Agi_G4502A	Breast			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Breast_230912		TCGA-A2-A0ER	TCGA-A2-A0ER-01A-21R-A034-07	Agi_G4502A	Breast			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Breast_230912		TCGA-A2-A0ES	TCGA-A2-A0ES-01A-11R-A115-07	Agi_G4502A	Breast			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Breast_230912		TCGA-A2-A0ET	TCGA-A2-A0ET-01A-31R-A034-07	Agi_G4502A	Breast			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Breast_230912		TCGA-A2-A0EU	TCGA-A2-A0EU-01A-22R-A056-07	Agi_G4502A	Breast			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Breast_230912		TCGA-A2-A0EV	TCGA-A2-A0EV-01A-11R-A034-07	Agi_G4502A	Breast			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Breast_230912		TCGA-A2-A0EW	TCGA-A2-A0EW-01A-21R-A115-07	Agi_G4502A	Breast			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Breast_230912		TCGA-A2-A0EX	TCGA-A2-A0EX-01A-21R-A034-07	Agi_G4502A	Breast			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Breast_230912		TCGA-A2-A0EY	TCGA-A2-A0EY-01A-11R-A034-07	Agi_G4502A	Breast			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Breast_230912		TCGA-A2-A0ST	TCGA-A2-A0ST-01A-12R-A084-07	Agi_G4502A	Breast			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Breast_230912		TCGA-A2-A0SU	TCGA-A2-A0SU-01A-11R-A084-07	Agi_G4502A	Breast			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Breast_230912		TCGA-A2-A0SV	TCGA-A2-A0SV-01A-11R-A084-07	Agi_G4502A	Breast			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Breast_230912		TCGA-A2-A0SW	TCGA-A2-A0SW-01A-11R-A084-07	Agi_G4502A	Breast			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Breast_230912		TCGA-A2-A0SX	TCGA-A2-A0SX-01A-12R-A084-07	Agi_G4502A	Breast			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Breast_230912		TCGA-A2-A0SY	TCGA-A2-A0SY-01A-31R-A084-07	Agi_G4502A	Breast			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Breast_230912		TCGA-A2-A0T0	TCGA-A2-A0T0-01A-22R-A084-07	Agi_G4502A	Breast			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Breast_230912		TCGA-A2-A0T1	TCGA-A2-A0T1-01A-21R-A084-07	Agi_G4502A	Breast			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Breast_230912		TCGA-A2-A0T2	TCGA-A2-A0T2-01A-11R-A084-07	Agi_G4502A	Breast			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Breast_230912		TCGA-A2-A0T3	TCGA-A2-A0T3-01A-21R-A115-07	Agi_G4502A	Breast			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Breast_230912		TCGA-A2-A0T4	TCGA-A2-A0T4-01A-31R-A084-07	Agi_G4502A	Breast			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Breast_230912		TCGA-A2-A0T5	TCGA-A2-A0T5-01A-21R-A084-07	Agi_G4502A	Breast			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Breast_230912		TCGA-A2-A0T6	TCGA-A2-A0T6-01A-11R-A084-07	Agi_G4502A	Breast			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Breast_230912		TCGA-A2-A0T7	TCGA-A2-A0T7-01A-21R-A084-07	Agi_G4502A	Breast			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Breast_230912		TCGA-A2-A0YC	TCGA-A2-A0YC-01A-11R-A109-07	Agi_G4502A	Breast			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Breast_230912		TCGA-A2-A0YD	TCGA-A2-A0YD-01A-11R-A109-07	Agi_G4502A	Breast			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Breast_230912		TCGA-A2-A0YE	TCGA-A2-A0YE-01A-11R-A109-07	Agi_G4502A	Breast			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Breast_230912		TCGA-A2-A0YF	TCGA-A2-A0YF-01A-21R-A109-07	Agi_G4502A	Breast			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Breast_230912		TCGA-A2-A0YG	TCGA-A2-A0YG-01A-21R-A109-07	Agi_G4502A	Breast			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Breast_230912		TCGA-A2-A0YH	TCGA-A2-A0YH-01A-11R-A109-07	Agi_G4502A	Breast			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Breast_230912		TCGA-A2-A0YI	TCGA-A2-A0YI-01A-31R-A10J-07	Agi_G4502A	Breast			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Breast_230912		TCGA-A2-A0YJ	TCGA-A2-A0YJ-01A-11R-A109-07	Agi_G4502A	Breast			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Breast_230912		TCGA-A2-A0YK	TCGA-A2-A0YK-01A-22R-A109-07	Agi_G4502A	Breast			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Breast_230912		TCGA-A2-A0YL	TCGA-A2-A0YL-01A-21R-A109-07	Agi_G4502A	Breast			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Breast_230912		TCGA-A2-A0YM	TCGA-A2-A0YM-01A-11R-A109-07	Agi_G4502A	Breast			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Breast_230912		TCGA-A7-A0CD	TCGA-A7-A0CD-01A-11R-A00Z-07	Agi_G4502A	Breast			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Breast_230912		TCGA-A7-A0CE	TCGA-A7-A0CE-01A-11R-A00Z-07	Agi_G4502A	Breast			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Breast_230912		TCGA-A7-A0CG	TCGA-A7-A0CG-01A-12R-A056-07	Agi_G4502A	Breast			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Breast_230912		TCGA-A7-A0CH	TCGA-A7-A0CH-01A-21R-A00Z-07	Agi_G4502A	Breast			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Breast_230912		TCGA-A7-A0CJ	TCGA-A7-A0CJ-01A-21R-A00Z-07	Agi_G4502A	Breast			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Breast_230912		TCGA-A7-A0D9	TCGA-A7-A0D9-01A-31R-A056-07	Agi_G4502A	Breast			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Breast_230912		TCGA-A7-A0DA	TCGA-A7-A0DA-01A-31R-A115-07	Agi_G4502A	Breast			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Breast_230912		TCGA-A7-A0DB	TCGA-A7-A0DB-01A-11R-A00Z-07	Agi_G4502A	Breast			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Breast_230912		TCGA-A7-A13D	TCGA-A7-A13D-01A-13R-A12P-07	Agi_G4502A	Breast			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Breast_230912		TCGA-A7-A13E	TCGA-A7-A13E-01A-11R-A12P-07	Agi_G4502A	Breast			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Breast_230912		TCGA-A7-A13F	TCGA-A7-A13F-01A-11R-A12P-07	Agi_G4502A	Breast			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Breast_230912		TCGA-A7-A13F	TCGA-A7-A13F-11A-42R-A12P-07	Agi_G4502A	Breast			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Breast_230912		TCGA-A8-A06N	TCGA-A8-A06N-01A-12R-A056-07	Agi_G4502A	Breast			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Breast_230912		TCGA-A8-A06O	TCGA-A8-A06O-01A-11R-A00Z-07	Agi_G4502A	Breast			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Breast_230912		TCGA-A8-A06P	TCGA-A8-A06P-01A-11R-A00Z-07	Agi_G4502A	Breast			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Breast_230912		TCGA-A8-A06Q	TCGA-A8-A06Q-01A-11R-A034-07	Agi_G4502A	Breast			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Breast_230912		TCGA-A8-A06R	TCGA-A8-A06R-01A-11R-A00Z-07	Agi_G4502A	Breast			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Breast_230912		TCGA-A8-A06T	TCGA-A8-A06T-01A-11R-A00Z-07	Agi_G4502A	Breast			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Breast_230912		TCGA-A8-A06U	TCGA-A8-A06U-01A-11R-A00Z-07	Agi_G4502A	Breast			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Breast_230912		TCGA-A8-A06X	TCGA-A8-A06X-01A-21R-A00Z-07	Agi_G4502A	Breast			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Breast_230912		TCGA-A8-A06Y	TCGA-A8-A06Y-01A-21R-A00Z-07	Agi_G4502A	Breast			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Breast_230912		TCGA-A8-A06Z	TCGA-A8-A06Z-01A-11R-A00Z-07	Agi_G4502A	Breast			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Breast_230912		TCGA-A8-A075	TCGA-A8-A075-01A-11R-A084-07	Agi_G4502A	Breast			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Breast_230912		TCGA-A8-A076	TCGA-A8-A076-01A-21R-A00Z-07	Agi_G4502A	Breast			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Breast_230912		TCGA-A8-A079	TCGA-A8-A079-01A-21R-A00Z-07	Agi_G4502A	Breast			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Breast_230912		TCGA-A8-A07B	TCGA-A8-A07B-01A-11R-A00Z-07	Agi_G4502A	Breast			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Breast_230912		TCGA-A8-A07C	TCGA-A8-A07C-01A-11R-A034-07	Agi_G4502A	Breast			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Breast_230912		TCGA-A8-A07E	TCGA-A8-A07E-01A-11R-A034-07	Agi_G4502A	Breast			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Breast_230912		TCGA-A8-A07F	TCGA-A8-A07F-01A-11R-A00Z-07	Agi_G4502A	Breast			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Breast_230912		TCGA-A8-A07G	TCGA-A8-A07G-01A-11R-A034-07	Agi_G4502A	Breast			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Breast_230912		TCGA-A8-A07I	TCGA-A8-A07I-01A-11R-A00Z-07	Agi_G4502A	Breast			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Breast_230912		TCGA-A8-A07J	TCGA-A8-A07J-01A-11R-A00Z-07	Agi_G4502A	Breast			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Breast_230912		TCGA-A8-A07L	TCGA-A8-A07L-01A-11R-A040-07	Agi_G4502A	Breast			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Breast_230912		TCGA-A8-A07O	TCGA-A8-A07O-01A-11R-A00Z-07	Agi_G4502A	Breast			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Breast_230912		TCGA-A8-A07P	TCGA-A8-A07P-01A-11R-A00Z-07	Agi_G4502A	Breast			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Breast_230912		TCGA-A8-A07R	TCGA-A8-A07R-01A-21R-A034-07	Agi_G4502A	Breast			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Breast_230912		TCGA-A8-A07S	TCGA-A8-A07S-01A-11R-A034-07	Agi_G4502A	Breast			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Breast_230912		TCGA-A8-A07U	TCGA-A8-A07U-01A-11R-A034-07	Agi_G4502A	Breast			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Breast_230912		TCGA-A8-A07W	TCGA-A8-A07W-01A-11R-A00Z-07	Agi_G4502A	Breast			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Breast_230912		TCGA-A8-A07Z	TCGA-A8-A07Z-01A-11R-A00Z-07	Agi_G4502A	Breast			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Breast_230912		TCGA-A8-A081	TCGA-A8-A081-01A-11R-A00Z-07	Agi_G4502A	Breast			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Breast_230912		TCGA-A8-A082	TCGA-A8-A082-01A-11R-A00Z-07	Agi_G4502A	Breast			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
