GPL_ID	PROBE_ID	GENE_SYMBOL	GENE_ID	ORGANISM
Agi_UNC_244	A_23_P104812	TREH	11181	HOMO_SAPIENS
Agi_UNC_244	A_24_P227168	ZNF195	7748	HOMO_SAPIENS
Agi_UNC_244	A_23_P75312	ARHGAP22	58504	HOMO_SAPIENS
Agi_UNC_244	A_24_P70891			HOMO_SAPIENS
Agi_UNC_244	A_23_P130954	ELA2	1991	HOMO_SAPIENS
Agi_UNC_244	A_23_P216670			HOMO_SAPIENS
Agi_UNC_244	A_24_P185984	MGC23937		HOMO_SAPIENS
Agi_UNC_244	A_32_P220690	TERF1	7013	HOMO_SAPIENS
Agi_UNC_244	A_32_P196242			HOMO_SAPIENS
Agi_UNC_244	A_24_P355489	LHPP	64077	HOMO_SAPIENS
Agi_UNC_244	A_24_P95739	DDHD1	80821	HOMO_SAPIENS
Agi_UNC_244	A_24_P176123	WDFY2	115825	HOMO_SAPIENS
Agi_UNC_244	A_23_P100606	TBCD	6904	HOMO_SAPIENS
Agi_UNC_244	A_23_P83600	PRKAR1B	5575	HOMO_SAPIENS
Agi_UNC_244	A_23_P26174	C15orf22		HOMO_SAPIENS
Agi_UNC_244	A_24_P42134			HOMO_SAPIENS
Agi_UNC_244	A_24_P884704			HOMO_SAPIENS
Agi_UNC_244	A_24_P359296	LOC205251		HOMO_SAPIENS
Agi_UNC_244	A_32_P122375	MST1	4485	HOMO_SAPIENS
Agi_UNC_244	A_24_P659204	C4A	720	HOMO_SAPIENS
Agi_UNC_244	A_23_P318291	PLEKHA8	84725	HOMO_SAPIENS
Agi_UNC_244	A_23_P163112	PRPF39	55015	HOMO_SAPIENS
Agi_UNC_244	A_23_P138827	SYVN1	84447	HOMO_SAPIENS
Agi_UNC_244	A_23_P82332	SLC25A13	10165	HOMO_SAPIENS
Agi_UNC_244	A_24_P97827	DKFZP434C171		HOMO_SAPIENS
Agi_UNC_244	A_24_P96342	SULF2	55959	HOMO_SAPIENS
Agi_UNC_244	A_23_P131396	SLC16A14	151473	HOMO_SAPIENS
Agi_UNC_244	A_23_P109608	SBF1	6305	HOMO_SAPIENS
