study_id	site_id	subject_id	sample_id	PLATFORM	TISSUETYPE	ATTR1	ATTR2	category_cd
TCGA_Colorectal_190712		TCGA-AA-3966	TCGA-AA-3966-01A-01R-1113-07	Agi_UNC_244	Colorectal			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Colorectal_190712		TCGA-AA-3994	TCGA-AA-3994-01A-01R-1113-07	Agi_UNC_244	Colorectal			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Colorectal_190712		TCGA-AY-4070	TCGA-AY-4070-01A-01R-1113-07	Agi_UNC_244	Colorectal			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Colorectal_190712		TCGA-AY-4071	TCGA-AY-4071-01A-01R-1113-07	Agi_UNC_244	Colorectal			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Colorectal_190712		TCGA-A6-2670	TCGA-A6-2670-01A-02R-0821-07	Agi_UNC_244	Colorectal			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Colorectal_190712		TCGA-A6-2674	TCGA-A6-2674-01A-02R-0821-07	Agi_UNC_244	Colorectal			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Colorectal_190712		TCGA-A6-2677	TCGA-A6-2677-01A-01R-0821-07	Agi_UNC_244	Colorectal			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Colorectal_190712		TCGA-A6-2678	TCGA-A6-2678-01A-01R-0821-07	Agi_UNC_244	Colorectal			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Colorectal_190712		TCGA-A6-2683	TCGA-A6-2683-01A-01R-0821-07	Agi_UNC_244	Colorectal			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Colorectal_190712		TCGA-AA-3514	TCGA-AA-3514-01A-02R-0821-07	Agi_UNC_244	Colorectal			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Colorectal_190712		TCGA-AA-3517	TCGA-AA-3517-01A-01R-0821-07	Agi_UNC_244	Colorectal			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Colorectal_190712		TCGA-AA-3519	TCGA-AA-3519-01A-02R-0821-07	Agi_UNC_244	Colorectal			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Colorectal_190712		TCGA-AA-3520	TCGA-AA-3520-01A-01R-0821-07	Agi_UNC_244	Colorectal			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Colorectal_190712		TCGA-AA-3521	TCGA-AA-3521-01A-01R-0821-07	Agi_UNC_244	Colorectal			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Colorectal_190712		TCGA-AA-3522	TCGA-AA-3522-01A-01R-0821-07	Agi_UNC_244	Colorectal			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Colorectal_190712		TCGA-AA-3524	TCGA-AA-3524-01A-02R-0821-07	Agi_UNC_244	Colorectal			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Colorectal_190712		TCGA-AA-3526	TCGA-AA-3526-01A-02R-0821-07	Agi_UNC_244	Colorectal			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Colorectal_190712		TCGA-AA-3527	TCGA-AA-3527-01A-01R-0821-07	Agi_UNC_244	Colorectal			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Colorectal_190712		TCGA-AA-3529	TCGA-AA-3529-01A-02R-0821-07	Agi_UNC_244	Colorectal			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Colorectal_190712		TCGA-AA-3531	TCGA-AA-3531-01A-01R-0821-07	Agi_UNC_244	Colorectal			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Colorectal_190712		TCGA-AA-3532	TCGA-AA-3532-01A-01R-0821-07	Agi_UNC_244	Colorectal			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Colorectal_190712		TCGA-AA-3534	TCGA-AA-3534-01A-01R-0821-07	Agi_UNC_244	Colorectal			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Colorectal_190712		TCGA-AA-3538	TCGA-AA-3538-01A-01R-0821-07	Agi_UNC_244	Colorectal			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Colorectal_190712		TCGA-AA-3542	TCGA-AA-3542-01A-02R-0821-07	Agi_UNC_244	Colorectal			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Colorectal_190712		TCGA-AA-3544	TCGA-AA-3544-01A-01R-0821-07	Agi_UNC_244	Colorectal			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Colorectal_190712		TCGA-AA-3548	TCGA-AA-3548-01A-01R-0821-07	Agi_UNC_244	Colorectal			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Colorectal_190712		TCGA-AA-3549	TCGA-AA-3549-01A-02R-0821-07	Agi_UNC_244	Colorectal			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Colorectal_190712		TCGA-AA-3552	TCGA-AA-3552-01A-01R-0821-07	Agi_UNC_244	Colorectal			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Colorectal_190712		TCGA-AA-3553	TCGA-AA-3553-01A-01R-0821-07	Agi_UNC_244	Colorectal			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Colorectal_190712		TCGA-AA-3555	TCGA-AA-3555-01A-01R-0821-07	Agi_UNC_244	Colorectal			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
