GPL_ID	PROBE_ID	GENE_SYMBOL	GENE_ID	ORGANISM
Agi_Affy_HuEX_U133A	A2BP1	A2BP1		HOMO_SAPIENS
Agi_Affy_HuEX_U133A	A2M	A2M	2	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	A4GALT	A4GALT	53947	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	A4GNT	A4GNT	51146	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	AAAS	AAAS	8086	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	AACS	AACS	65985	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	AADAC	AADAC	13	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	AAK1	AAK1	22848	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	AAMP	AAMP	14	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	AANAT	AANAT	15	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	AARS	AARS	16	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	AARSD1	AARSD1	100885850	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	AASDHPPT	AASDHPPT	60496	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	AASS	AASS	10157	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	AATF	AATF	26574	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	AATK	AATK	9625	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ABAT	ABAT	18	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ABBA-1	ABBA-1		HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ABCA1	ABCA1	19	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ABCA12	ABCA12	26154	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ABCA2	ABCA2	20	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ABCA3	ABCA3	21	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ABCA4	ABCA4	24	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ABCA5	ABCA5	23461	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ABCA6	ABCA6	23460	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ABCA7	ABCA7	10347	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ABCA8	ABCA8	10351	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ABCB1	ABCB1	5243	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ABCB11	ABCB11	8647	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ABCB4	ABCB4	5244	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ABCB6	ABCB6	10058	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ABCB7	ABCB7	22	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ABCB8	ABCB8	11194	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ABCB9	ABCB9	23457	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ABCC1	ABCC1	4363	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ABCC10	ABCC10	89845	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ABCC2	ABCC2	1244	HOMO_SAPIENS
Agi_Affy_HuEX_U133A	ABCC3	ABCC3	8714	HOMO_SAPIENS
