GPL_ID	PROBE_ID	GENE_SYMBOL	GENE_ID	ORGANISM
Affy_microarray	ELMO2	ELMO2	63916	HOMO_SAPIENS
Affy_microarray	CREB3L1	CREB3L1	90993	HOMO_SAPIENS
Affy_microarray	RPS11	RPS11	6205	HOMO_SAPIENS
Affy_microarray	PNMA1	PNMA1	9240	HOMO_SAPIENS
Affy_microarray	MMP2	MMP2	4313	HOMO_SAPIENS
Affy_microarray	C10orf90	C10orf90	118611	HOMO_SAPIENS
Affy_microarray	ZHX3	ZHX3	23051	HOMO_SAPIENS
Affy_microarray	ERCC5	ERCC5	2073	HOMO_SAPIENS
Affy_microarray	GPR98	GPR98	84059	HOMO_SAPIENS
Affy_microarray	RXFP3	RXFP3	51289	HOMO_SAPIENS
Affy_microarray	APBB2	APBB2	323	HOMO_SAPIENS
Affy_microarray	PRO0478	PRO0478		HOMO_SAPIENS
Affy_microarray	KLHL13	KLHL13	90293	HOMO_SAPIENS
Affy_microarray	PRSSL1	PRSSL1		HOMO_SAPIENS
Affy_microarray	PDCL3	PDCL3	79031	HOMO_SAPIENS
Affy_microarray	DECR1	DECR1	1666	HOMO_SAPIENS
Affy_microarray	SALL1	SALL1	6299	HOMO_SAPIENS
Affy_microarray	CADM4	CADM4	199731	HOMO_SAPIENS
Affy_microarray	RPS18	RPS18	6222	HOMO_SAPIENS
Affy_microarray	HNRPD	HNRPD		HOMO_SAPIENS
Affy_microarray	CFHR5	CFHR5	81494	HOMO_SAPIENS
Affy_microarray	SLC10A7	SLC10A7	84068	HOMO_SAPIENS
Affy_microarray	OR2K2	OR2K2	26248	HOMO_SAPIENS
Affy_microarray	LMAN1	LMAN1	3998	HOMO_SAPIENS
Affy_microarray	SUHW1	SUHW1		HOMO_SAPIENS
Affy_microarray	CHD8	CHD8	57680	HOMO_SAPIENS
Affy_microarray	SUMO1	SUMO1	7341	HOMO_SAPIENS
Affy_microarray	GP1BA	GP1BA	2811	HOMO_SAPIENS
Affy_microarray	DDB1	DDB1	1642	HOMO_SAPIENS
Affy_microarray	MYO9B	MYO9B	4650	HOMO_SAPIENS
Affy_microarray	MMP7	MMP7	4316	HOMO_SAPIENS
Affy_microarray	CRNKL1	CRNKL1	51340	HOMO_SAPIENS
Affy_microarray	C9orf45	C9orf45		HOMO_SAPIENS
Affy_microarray	XAB2	XAB2	56949	HOMO_SAPIENS
Affy_microarray	RTN1	RTN1	6252	HOMO_SAPIENS
Affy_microarray	KLHL14	KLHL14	57565	HOMO_SAPIENS
Affy_microarray	TBX10	TBX10	347853	HOMO_SAPIENS
Affy_microarray	CENPQ	CENPQ	55166	HOMO_SAPIENS
Affy_microarray	UTY	UTY	7404	HOMO_SAPIENS
Affy_microarray	ZBTB12	ZBTB12	221527	HOMO_SAPIENS
Affy_microarray	DTNBP1	DTNBP1	84062	HOMO_SAPIENS
Affy_microarray	KBTBD8	KBTBD8	84541	HOMO_SAPIENS
Affy_microarray	ZEB1	ZEB1	6935	HOMO_SAPIENS
Affy_microarray	ZG16	ZG16	653808	HOMO_SAPIENS
