STUDY_ID	SITE_ID	SUBJECT_ID	SAMPLE_ID	PLATFORM	TISSUETYPE	ATTR1	ATTR2	category_cd
TCGA_Endomet_010513		TCGA-B5-A0JZ	TCGA-B5-A0JZ-01A-11R-A040-07	Affy_microarray	Endometrial			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Endomet_010513		TCGA-A5-A0G2	TCGA-A5-A0G2-01A-11R-A040-07	Affy_microarray	Endometrial			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Endomet_010513		TCGA-B5-A0JR	TCGA-B5-A0JR-01A-13R-A040-07	Affy_microarray	Endometrial			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Endomet_010513		TCGA-AP-A05J	TCGA-AP-A05J-01A-11R-A00V-07	Affy_microarray	Endometrial			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Endomet_010513		TCGA-AX-A060	TCGA-AX-A060-01A-11R-A00V-07	Affy_microarray	Endometrial			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Endomet_010513		TCGA-BK-A0CC	TCGA-BK-A0CC-01A-21R-A00V-07	Affy_microarray	Endometrial			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Endomet_010513		TCGA-AP-A051	TCGA-AP-A051-01A-21R-A00V-07	Affy_microarray	Endometrial			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Endomet_010513		TCGA-AP-A05N	TCGA-AP-A05N-01A-11R-A00V-07	Affy_microarray	Endometrial			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Endomet_010513		TCGA-AX-A062	TCGA-AX-A062-01A-11R-A00V-07	Affy_microarray	Endometrial			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Endomet_010513		TCGA-AP-A052	TCGA-AP-A052-01A-11R-A00V-07	Affy_microarray	Endometrial			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Endomet_010513		TCGA-AX-A05S	TCGA-AX-A05S-01A-11R-A00V-07	Affy_microarray	Endometrial			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Endomet_010513		TCGA-AX-A063	TCGA-AX-A063-01A-11R-A00V-07	Affy_microarray	Endometrial			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Endomet_010513		TCGA-AP-A053	TCGA-AP-A053-01A-21R-A00V-07	Affy_microarray	Endometrial			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Endomet_010513		TCGA-AX-A05T	TCGA-AX-A05T-01A-11R-A00V-07	Affy_microarray	Endometrial			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Endomet_010513		TCGA-AX-A064	TCGA-AX-A064-01A-11R-A00V-07	Affy_microarray	Endometrial			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Endomet_010513		TCGA-AP-A056	TCGA-AP-A056-01A-11R-A00V-07	Affy_microarray	Endometrial			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Endomet_010513		TCGA-AX-A05U	TCGA-AX-A05U-01A-11R-A00V-07	Affy_microarray	Endometrial			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Endomet_010513		TCGA-AX-A06B	TCGA-AX-A06B-01A-11R-A00V-07	Affy_microarray	Endometrial			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Endomet_010513		TCGA-AP-A05A	TCGA-AP-A05A-01A-11R-A00V-07	Affy_microarray	Endometrial			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Endomet_010513		TCGA-AX-A05W	TCGA-AX-A05W-01A-21R-A00V-07	Affy_microarray	Endometrial			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Endomet_010513		TCGA-AX-A06F	TCGA-AX-A06F-01A-11R-A00V-07	Affy_microarray	Endometrial			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Endomet_010513		TCGA-AP-A05D	TCGA-AP-A05D-01A-11R-A00V-07	Affy_microarray	Endometrial			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Endomet_010513		TCGA-AX-A05Y	TCGA-AX-A05Y-01A-11R-A00V-07	Affy_microarray	Endometrial			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Endomet_010513		TCGA-AX-A06J	TCGA-AX-A06J-01A-11R-A00V-07	Affy_microarray	Endometrial			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Endomet_010513		TCGA-AP-A05H	TCGA-AP-A05H-01A-11R-A00V-07	Affy_microarray	Endometrial			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Endomet_010513		TCGA-AX-A05Z	TCGA-AX-A05Z-01A-11R-A00V-07	Affy_microarray	Endometrial			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Endomet_010513		TCGA-BK-A0C9	TCGA-BK-A0C9-01A-11R-A00V-07	Affy_microarray	Endometrial			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Endomet_010513		TCGA-AP-A054	TCGA-AP-A054-01A-11R-A040-07	Affy_microarray	Endometrial			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Endomet_010513		TCGA-A5-A0GU	TCGA-A5-A0GU-01A-11R-A040-07	Affy_microarray	Endometrial			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Endomet_010513		TCGA-B5-A0K0	TCGA-B5-A0K0-01A-11R-A040-07	Affy_microarray	Endometrial			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Endomet_010513		TCGA-AP-A0LG	TCGA-AP-A0LG-01A-11R-A040-07	Affy_microarray	Endometrial			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Endomet_010513		TCGA-BG-A0LW	TCGA-BG-A0LW-01A-11R-A040-07	Affy_microarray	Endometrial			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Endomet_010513		TCGA-AP-A05P	TCGA-AP-A05P-01A-11R-A040-07	Affy_microarray	Endometrial			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Endomet_010513		TCGA-A5-A0GE	TCGA-A5-A0GE-01A-11R-A040-07	Affy_microarray	Endometrial			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Endomet_010513		TCGA-B5-A0K1	TCGA-B5-A0K1-01A-11R-A040-07	Affy_microarray	Endometrial			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Endomet_010513		TCGA-AP-A0LH	TCGA-AP-A0LH-01A-11R-A040-07	Affy_microarray	Endometrial			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Endomet_010513		TCGA-A5-A0GH	TCGA-A5-A0GH-01A-21R-A040-07	Affy_microarray	Endometrial			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Endomet_010513		TCGA-A5-A0G3	TCGA-A5-A0G3-01A-11R-A040-07	Affy_microarray	Endometrial			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Endomet_010513		TCGA-B5-A0K4	TCGA-B5-A0K4-01A-11R-A040-07	Affy_microarray	Endometrial			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Endomet_010513		TCGA-AP-A0LJ	TCGA-AP-A0LJ-01A-11R-A040-07	Affy_microarray	Endometrial			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Endomet_010513		TCGA-A5-A0G5	TCGA-A5-A0G5-01A-11R-A040-07	Affy_microarray	Endometrial			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Endomet_010513		TCGA-AP-A0LN	TCGA-AP-A0LN-01A-11R-A040-07	Affy_microarray	Endometrial			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Endomet_010513		TCGA-BG-A0MI	TCGA-BG-A0MI-01A-11R-A040-07	Affy_microarray	Endometrial			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Endomet_010513		TCGA-A5-A0GM	TCGA-A5-A0GM-01A-11R-A040-07	Affy_microarray	Endometrial			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Endomet_010513		TCGA-AX-A0J1	TCGA-AX-A0J1-01A-11R-A040-07	Affy_microarray	Endometrial			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
